company_name,writer,tweet_total,comment_total,retweet_total,like_num,reaction_total
Amazon.com,lamonicabuzz,144,114.0,197.0,607.0,918.0
Amazon.com,alicech76224366,143,55.0,21.0,91.0,167.0
Amazon.com,optionstradin17,142,131.0,196.0,629.0,956.0
Amazon.com,everytimeicash,139,68.0,55.0,378.0,501.0
Amazon.com,squawksquare,139,22.0,10.0,77.0,109.0
Amazon.com,stock_family,139,12.0,32.0,52.0,96.0
Amazon.com,mitickwatcher,137,0.0,2.0,6.0,8.0
Amazon.com,theoptionspros,137,16.0,8.0,69.0,93.0
Amazon.com,openoutcrier,136,52.0,271.0,483.0,806.0
Amazon.com,swatresearch,136,101.0,86.0,565.0,752.0
Amazon.com,carmex212,135,116.0,13.0,115.0,244.0
Amazon.com,reddogt3,135,359.0,495.0,2646.0,3500.0
Amazon.com,xosignals,133,1.0,5.0,30.0,36.0
Amazon.com,ivolatility,131,2.0,6.0,12.0,20.0
Amazon.com,financialbuzz,130,1.0,514.0,1282.0,1797.0
Amazon.com,swingtradebot,127,5.0,3.0,8.0,16.0
Amazon.com,timcgriffith,127,11.0,66.0,94.0,171.0
Amazon.com,reurope_stock,126,0.0,1.0,1.0,2.0
Amazon.com,hedgehogoptions,125,162.0,43.0,570.0,775.0
Amazon.com,mkt_matrix,125,5.0,20.0,49.0,74.0
Amazon.com,spiderman_3s,123,19.0,33.0,258.0,310.0
Amazon.com,autonomouscns,122,0.0,1.0,6.0,7.0
Amazon.com,kasdad,120,52.0,19.0,217.0,288.0
Amazon.com,fpswatchlist,119,7.0,79.0,196.0,282.0
Amazon.com,rampuptrading,118,168.0,202.0,1809.0,2179.0
Amazon.com,llcbillionaire,117,15.0,28.0,85.0,128.0
Amazon.com,aaronklein10x,116,120.0,73.0,198.0,391.0
Amazon.com,globalinvestor5,115,14.0,22.0,49.0,85.0
Amazon.com,askgeorgebailey,112,16.0,28.0,24.0,68.0
Amazon.com,bs_marker,111,0.0,10.0,4.0,14.0
Amazon.com,classicoptions,111,21.0,72.0,535.0,628.0
Amazon.com,trading_analyst,111,8.0,7.0,38.0,53.0
Amazon.com,zerofiltertruth,110,5.0,9.0,39.0,53.0
Amazon.com,brucerollins,108,3.0,1.0,16.0,20.0
Amazon.com,options_ov,108,62.0,39.0,335.0,436.0
Amazon.com,trendspider,108,129.0,234.0,682.0,1045.0
Amazon.com,wtcm3,108,79.0,201.0,1063.0,1343.0
Amazon.com,garythomson14,106,1.0,47.0,160.0,208.0
Amazon.com,tickerreport,104,1.0,1.0,5.0,7.0
Amazon.com,chitraders,101,1.0,20.0,15.0,36.0
Amazon.com,elpfan,101,0.0,11.0,4.0,15.0
Amazon.com,stock_hunter89,100,70.0,55.0,566.0,691.0
Amazon.com,tradewithtechs,100,17.0,51.0,303.0,371.0
Amazon.com,shoprecord,99,21.0,18.0,32.0,71.0
Amazon.com,felipepotes83,98,4.0,13.0,24.0,41.0
Amazon.com,teckanalytics,98,3.0,31.0,101.0,135.0
Amazon.com,gerberkawasaki,96,571.0,415.0,2909.0,3895.0
Amazon.com,jefffocker,96,11.0,2.0,23.0,36.0
Amazon.com,tfnn,93,1.0,12.0,16.0,29.0
Amazon.com,bullbearcharts,92,0.0,3.0,13.0,16.0
Amazon.com,mwm76,91,1.0,4.0,11.0,16.0
Amazon.com,breaking24seven,90,2.0,40.0,30.0,72.0
Amazon.com,realwillmeade,90,256.0,244.0,2206.0,2706.0
Amazon.com,aaaamhim,89,10.0,36.0,99.0,145.0
Amazon.com,optionsmike,87,106.0,122.0,795.0,1023.0
Amazon.com,permabear_uk,87,32.0,55.0,258.0,345.0
Amazon.com,ratingsnetwork,87,0.0,2.0,10.0,12.0
Amazon.com,trickmitch1,86,129.0,64.0,741.0,934.0
Amazon.com,ntfri,85,48.0,23.0,166.0,237.0
Amazon.com,thweissxfx,85,25.0,18.0,146.0,189.0
Amazon.com,androsform,84,3.0,14.0,42.0,59.0
Amazon.com,realmoney,84,27.0,172.0,246.0,445.0
Amazon.com,stockspastor,84,3.0,42.0,77.0,122.0
Amazon.com,bob2trader,83,8.0,14.0,51.0,73.0
Amazon.com,optionsprooi,83,0.0,2.0,3.0,5.0
Amazon.com,ryuofdarkness,82,0.0,11.0,4.0,15.0
Amazon.com,j_p_jacques,81,44.0,38.0,186.0,268.0
Amazon.com,optionsmaxpain,80,0.0,2.0,5.0,7.0
Amazon.com,traderdanny77,80,7.0,14.0,61.0,82.0
Amazon.com,roka_dura,79,44.0,15.0,275.0,334.0
Amazon.com,protrader_vini,77,62.0,10.0,206.0,278.0
Amazon.com,elcryptochief,76,0.0,3.0,9.0,12.0
Amazon.com,optionslocator,76,19.0,23.0,131.0,173.0
Amazon.com,scriptstotrade,76,13.0,33.0,259.0,305.0
Amazon.com,kreviewer1,75,0.0,2.0,2.0,4.0
Amazon.com,si_investor,74,0.0,7.0,4.0,11.0
Amazon.com,sl20707,74,0.0,8.0,12.0,20.0
Amazon.com,olympiareport,73,0.0,0.0,3.0,3.0
Amazon.com,racernic,73,16.0,70.0,97.0,183.0
Amazon.com,thislincolnian,72,0.0,0.0,0.0,0.0
Amazon.com,stockhoot,70,1.0,4.0,8.0,13.0
Amazon.com,weekherald,70,0.0,0.0,1.0,1.0
Amazon.com,consumerfeed,69,0.0,2.0,1.0,3.0
Amazon.com,weijgenberger,69,0.0,7.0,6.0,13.0
Amazon.com,dailypoliticaln,68,0.0,0.0,0.0,0.0
Amazon.com,dakotafinancial,65,2.0,0.0,1.0,3.0
Amazon.com,techeblog,65,3.0,95.0,56.0,154.0
Amazon.com,transcriptdaily,65,1.0,1.0,3.0,5.0
Amazon.com,wallstreetelix5,65,27.0,24.0,287.0,338.0
Amazon.com,canuck2usa,64,62.0,62.0,433.0,557.0
Amazon.com,ebitdatrades,64,1.0,43.0,49.0,93.0
Amazon.com,hotteststocknow,64,0.0,9.0,4.0,13.0
Amazon.com,zolmaxnews,64,0.0,1.0,2.0,3.0
Amazon.com,dispatchtribune,63,1.0,0.0,4.0,5.0
Amazon.com,aznoptions,62,20.0,9.0,96.0,125.0
Amazon.com,dzierler,61,5.0,74.0,110.0,189.0
Amazon.com,codemonk13,60,11.0,3.0,20.0,34.0
Amazon.com,caetuscap,59,52.0,25.0,160.0,237.0
Amazon.com,marketbeatnews,58,2.0,1.0,4.0,7.0
Amazon.com,jessecoheninv,57,23.0,149.0,288.0,460.0
Amazon.com,maythefroth,55,15.0,5.0,14.0,34.0
Amazon.com,waitcapital,55,22.0,6.0,93.0,121.0
Amazon.com,opinicusholding,54,3.0,10.0,45.0,58.0
Amazon.com,themarketsdaily,52,1.0,1.0,1.0,3.0
Amazon.com,finscreener_com,51,1.0,3.0,10.0,14.0
Amazon.com,facebookipoflop,50,3.0,3.0,7.0,13.0
Amazon.com,echotoall,48,6.0,11.0,34.0,51.0
Amazon.com,gambistefinance,48,1.0,7.0,9.0,17.0
Amazon.com,wingtrades,48,3.0,2.0,7.0,12.0
Amazon.com,oppayahtwitr,45,26.0,26.0,66.0,118.0
Amazon.com,vieirauae,44,8.0,52.0,45.0,105.0
Amazon.com,jamesowenthe3rd,39,5.0,5.0,53.0,63.0
Amazon.com,mr_moonstocks,39,17.0,3.0,47.0,67.0
Amazon.com,magnoliag2012,32,0.0,9.0,2.0,11.0
Amazon.com,rufioooooh,31,15.0,0.0,8.0,23.0
Amazon.com,daviddaubner,30,0.0,1.0,10.0,11.0
Amazon.com,fintwittsla,30,0.0,2.0,17.0,19.0
Amazon.com,patrickcomack,29,12.0,10.0,15.0,37.0
Amazon.com,marketchmln,27,0.0,9.0,18.0,27.0
Amazon.com,warren_tt,27,25.0,8.0,45.0,78.0
Amazon.com,sleekoptions,26,1.0,1.0,10.0,12.0
Amazon.com,wallstcynic,26,97.0,35.0,669.0,801.0
Amazon.com,cheddarflow,24,1.0,29.0,77.0,107.0
Amazon.com,markbspiegel,23,74.0,34.0,406.0,514.0
Amazon.com,marshmall0wpeep,23,15.0,4.0,56.0,75.0
Amazon.com,invresdynamics,22,25.0,18.0,136.0,179.0
Amazon.com,fininvtr,20,0.0,16.0,18.0,34.0
Amazon.com,zeroshorts,19,10.0,5.0,9.0,24.0
Amazon.com,facts_tesla,18,21.0,59.0,308.0,388.0
Amazon.com,thelincolnlist,18,3.0,1.0,3.0,7.0
